ROI.name,feature,feature_label,feature_type,module,value_raw,value_z,mapping_note,key_gene
Subepidermis,Hairless,Hairless,gene,trichome_morphogenesis,33.434444427490234,-0.48378920555114746,,False
Subepidermis,Glandless,Glandless,gene,glandular_regulation,35.19438934326172,-0.33793893456459045,,False
Subepidermis,GCR1,GCR1,gene,glandular_regulation,1.3194788694381714,-0.3215853273868561,,False
Subepidermis,GCR2,GCR2,gene,glandular_regulation,0.7256538271903992,-0.3303801417350769,,False
Subepidermis,TOE1B,TOE1B,gene,glandular_regulation,10.702156066894531,-0.45943525433540344,,True
Subepidermis,LFS,LFS,gene,glandular_regulation,5.214792251586914,-0.06616823375225067,,False
Subepidermis,AACS1,AACS1,gene,typeIV_acylsugar_metabolism,0.0,-0.3180793523788452,,False
Subepidermis,AECH1,AECH1,gene,typeIV_acylsugar_metabolism,0.0,-0.40596646070480347,,False
Subepidermis,ABC Transporter,ABC Transporter,gene,typeIV_acylsugar_metabolism,0.0,-0.5323851108551025,,True
Subepidermis,ASAT2,ASAT2,gene,typeIV_acylsugar_metabolism,0.0,-0.4413694143295288,,False
Subepidermis,ASH3,ASH3,gene,typeIV_acylsugar_metabolism,38.12557601928711,0.7191658616065979,,True
Subepidermis,MCPI,MCPI,gene,typeVI_terpene_metabolism,34.0662841796875,-0.41137707233428955,,True
Subepidermis,EOT1,EOT1,gene,typeVI_terpene_metabolism,1.826725959777832,-0.30177152156829834,,True
Subepidermis,EOT2,EOT2,gene,typeVI_terpene_metabolism,0.9617788195610046,-0.20067566633224487,,False
Subepidermis,TPS9,TPS9,gene,typeVI_terpene_metabolism,7.7479400634765625,-0.31603196263313293,,False
Subepidermis,RBCS-1,RBCS-1,gene,reference_control,514.7959594726562,1.8774739503860474,,True
Subepidermis,CAB13,CAB13,gene,reference_control,661.9186401367188,1.240198016166687,,False
Subepidermis,PSBO,PSBO,gene,reference_control,201.27554321289062,1.9729399681091309,,True
Subepidermis,PSBS,PSBS,gene,reference_control,180.41168212890625,1.3828058242797852,,False
Subepidermis,PSBR,PSBR,gene,reference_control,844.8955688476562,1.2713319063186646,,False
Subepidermis,WEE1,WEE1,gene,reference_control,27.5319881439209,0.1624002307653427,,False
Subepidermis,Histone H4,Histone H4,gene,reference_control,674.489501953125,-0.22633685171604156,,True
AdaxialMesophyll,ML1,ML1,gene,epidermal_identity,25.050119400024414,-0.7162125706672668,,False
AdaxialMesophyll,PDF1,PDF1,gene,epidermal_identity,247.35165405273438,-0.5644789338111877,,False
